channel_id,last_date,status
UCwr5YC2GOUsg4phdEbuR-iQ,2019-12-20 07:04:18,to do
UCWy-rmru-Ar6IiJm0lZ1XHA,2019-12-20 07:06:18,to do
UCGzD1IY8AIqknO3c8LRwUEw,2019-12-20 07:07:18,to do
UCj9u3t-CR2dik4ZjdIloZnw,2019-12-20 07:07:18,to do
UCLRpS934D86ep_FqkJzAAog,2019-12-20 07:09:17,to do
UCEc4JXqy5SMPD1EZCp7stSA,2019-12-20 07:10:17,to do
UCEVSOmlPIHTHqJtCjzGj-Lw,2019-12-20 07:11:18,to do
UCGCr5uAHMHOns6IGj9qbCdw,2019-12-20 07:11:18,to do
UCmzoiSxIePkxjH8WB_P9VjQ,2019-12-20 07:13:20,to do
UCu2FgbivsubKfiB3WyMZtSQ,2019-12-20 07:14:22,to do
UCDrZmQePyBdZ3O6kqEr_G5w,2019-12-20 07:15:22,to do
UCZaDw_W7m2D2Nm7e5-EUOaA,2019-12-20 07:15:22,to do
UCTgFf4fksYCG5iCi054AebQ,2019-12-20 07:16:24,to do
UC9u1xtxt8-VbSLn2XHSi6Lg,2019-12-20 07:16:24,to do
UCZowp9hHAG7JxF9WiHq9L_A,2019-12-20 07:17:26,to do
UCLBSe_sLa3KqqAmRw_kCasQ,2019-12-20 07:18:27,to do
UC4lWfhhFK94PzbXdj8izDEA,2019-12-20 07:19:29,to do
UCU5uk0iyVq45iioRXvw7_Jw,2019-12-20 07:21:33,to do
UCVlKv93UvSj4Att8ZveRaTA,2019-12-20 07:22:35,to do
UCQC9qgbX2-aly-n5a7e-G-w,2019-12-20 07:23:37,to do
UCECLpDchXGkpxX_qXIkZ0PQ,2019-12-20 07:24:40,to do
UCvGiJYBPgVP7W1ypE3DKOqA,2019-12-20 07:28:51,to do
UCLbH4k5J4ukwDBoTua6SYbw,2019-12-20 07:30:56,to do
UCa5JjPnQLvlrElj6v-aGEnA,2019-12-20 07:34:04,to do
